PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0010XX 8 ST SE,3744361,MP 2018 068876,02,3/4/2018 7:37:00 PM,3/3/2018 11:00:00 PM,23:00:00,AUTOTH,Motor Vehicle Theft,08,3/4/2018 7:36:53 PM,17645,44.9863506,-93.23751429,-10379152.6139,5619372.9229,MARCY HOLMES,3/6/2018 5:16:34 AM,3/6/2018 8:00:34 PM,2,-10379152.6139,5619372.9229
0008XX 13 AV SE,3744399,MP 2018 069260,02,3/4/2018 11:39:00 PM,3/4/2018 2:00:00 AM,02:00:00,TFMV,Theft From Motr Vehc,07,3/4/2018 11:39:10 PM,16832,44.98531447,-93.23374831,-10378733.3871,5619209.8457,MARCY HOLMES,3/6/2018 5:09:24 AM,3/6/2018 8:00:34 PM,3,-10378733.3871,5619209.8457
0003XX Quincy ST NE,3744565,MP 2018 069940,02,3/5/2018 4:38:00 PM,2/10/2018 11:30:00 PM,23:30:00,TFMV,Theft From Motr Vehc,07,3/5/2018 4:22:16 PM,17548,44.9944422,-93.25114969,-10380670.4999,5620646.5662,ST. ANTHONY EAST,3/6/2018 5:10:53 AM,3/6/2018 8:00:34 PM,6,-10380670.4999,5620646.5662
0006XX 7 ST S,3744573,MP 2018 070050,01,3/5/2018 5:33:00 PM,3/5/2018 5:00:00 PM,17:00:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 5:33:34 PM,18593,44.9731367,-93.26339055,-10382033.1453,5617293.4003,ELLIOT PARK,3/5/2018 10:27:06 PM,3/6/2018 8:00:34 PM,7,-10382033.1453,5617293.4003
0024XX Bloomington AV S,3744597,MP 2018 070163,03,3/5/2018 7:47:00 PM,3/5/2018 6:50:00 PM,18:50:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 7:47:18 PM,21469,44.95823569,-93.25239248,-10380808.8457,5614948.9445,EAST PHILLIPS,3/5/2018 10:09:07 PM,3/6/2018 8:00:34 PM,9,-10380808.8457,5614948.9445
1 ST N / 4 AV N,3744600,MP 2018 070236,01,3/5/2018 8:17:00 PM,3/5/2018 2:00:00 PM,14:00:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 8:16:49 PM,,44.98699,-93.2713,-10382913.25,5619473.2,NORTH LOOP,3/5/2018 10:21:18 PM,3/6/2018 8:00:34 PM,10,-10382913.25,5619473.2
25 ST E / Minnehaha AV S,3744612,MP 2018 070287,03,3/5/2018 9:30:00 PM,3/5/2018 2:30:00 PM,14:30:00,TFMV,Theft From Motr Vehc,07,3/5/2018 9:34:34 PM,,44.95735,-93.2407,-10379506.92,5614810.153,SEWARD,3/6/2018 5:33:04 AM,3/6/2018 8:00:34 PM,15,-10379506.92,5614810.153
0012XX Lake ST W,3744614,MP 2018 070298,05,3/5/2018 10:00:00 PM,3/5/2018 8:30:00 PM,20:30:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 9:59:28 PM,17302,44.94836088,-93.29510762,-10385563.8739,5613395.6244,CARAG,3/6/2018 11:47:05 AM,3/6/2018 8:00:34 PM,16,-10385563.8739,5613395.6244
0001XX 13 AV NE,3744628,MP 2018 070344,02,3/6/2018 12:52:00 AM,3/5/2018 9:20:00 PM,21:20:00,TFMV,Theft From Motr Vehc,07,3/6/2018 12:51:35 AM,20974,45.0008935,-93.26690906,-10382424.8243,5621662.15,SHERIDAN,3/6/2018 5:15:51 AM,3/6/2018 8:00:34 PM,20,-10382424.8243,5621662.15
0039XX Upton AV N,3744657,MP 2018 070650,04,3/6/2018 5:45:00 AM,3/6/2018 4:30:00 AM,04:30:00,AUTOTH,Motor Vehicle Theft,08,3/6/2018 5:02:29 AM,21899,45.02681188,-93.3147681,-10387752.4679,5625743.4564,VICTORY,3/6/2018 2:01:54 PM,3/6/2018 8:00:34 PM,25,-10387752.4679,5625743.4564
0013XX INDUSTRIAL BL ,3744661,MP 2018 998856,02,3/6/2018 8:16:21 AM,3/5/2018 6:00:00 PM,18:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 8:16:21 AM,25819,45.00228657,-93.21164432,-10376272.7812,5621881.4674,MID - CITY INDUSTRIAL,3/6/2018 8:16:27 AM,3/6/2018 8:00:34 PM,26,-10376272.7812,5621881.4674
0007XX 4 ST N,3744681,MP 2018 998854,01,3/6/2018 9:03:27 AM,3/3/2018 8:30:00 PM,20:30:00,TFMV,Theft From Motr Vehc,07,3/6/2018 9:03:27 AM,16620,44.98720974,-93.28094392,-10383987.178,5619508.1465,NORTH LOOP,3/6/2018 9:03:31 AM,3/6/2018 8:00:34 PM,28,-10383987.178,5619508.1465
0015XX 19 ST E,3744686,MP 2018 998853,03,3/6/2018 9:25:55 AM,3/5/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 9:25:55 AM,21462,44.96374585,-93.252808,-10380855.1011,5615815.8163,VENTURA VILLAGE,3/6/2018 9:25:59 AM,3/6/2018 8:00:34 PM,31,-10380855.1011,5615815.8163
0060XX Newton AV S,3744701,MP 2018 998846,05,3/6/2018 11:09:57 AM,3/3/2018 9:00:00 PM,21:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 11:09:57 AM,14476,44.89338755,-93.30611994,-10386789.7591,5604753.1243,ARMATAGE,3/6/2018 11:10:03 AM,3/6/2018 8:00:34 PM,35,-10386789.7591,5604753.1243
0048XX Bryant AV N,3744703,MP 2018 070669,04,3/6/2018 11:38:00 AM,3/6/2018 4:00:00 AM,04:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 11:38:12 AM,10051,45.04300215,-93.29143755,-10385155.3229,5628293.8371,LIND - BOHANON,3/6/2018 12:48:47 PM,3/6/2018 8:00:34 PM,36,-10385155.3229,5628293.8371
0028XX Fremont AV N,3744718,MP 2018 070855,04,3/6/2018 12:50:00 PM,3/6/2018 10:40:00 AM,10:40:00,AUTOTH,Motor Vehicle Theft,08,3/6/2018 12:50:07 PM,22231,45.00865586,-93.2955763,-10385616.0468,5622884.2775,JORDAN,3/6/2018 1:47:50 PM,3/6/2018 8:00:34 PM,42,-10385616.0468,5622884.2775
0030XX Ulysses ST NE,3744745,MP 2018 998840,02,3/6/2018 2:53:41 PM,3/4/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 2:53:41 PM,18957,45.02293515,-93.23583386,-10378965.5492,5625132.8792,AUDUBON PARK,3/6/2018 2:53:44 PM,3/6/2018 8:00:34 PM,44,-10378965.5492,5625132.8792
0018XX 14 AV S,3738790,MP 2018 038592,03,2/6/2018 12:14:00 PM,2/6/2018 10:55:00 AM,10:55:00,AUTOTH,Motor Vehicle Theft,08,2/6/2018 12:13:51 PM,21252,44.96454265,-93.25542523,-10381146.4505,5615941.178,VENTURA VILLAGE,2/8/2018 4:56:23 AM,2/8/2018 8:00:33 PM,47,-10381146.4505,5615941.178
0031XX Oliver AV N,3739032,MP 2018 039753,04,2/7/2018 2:28:00 PM,2/7/2018 1:30:00 PM,13:30:00,TFMV,Theft From Motr Vehc,07,2/7/2018 2:21:06 PM,19827,45.01233173,-93.30696956,-10386884.3386,5623463.0737,JORDAN,2/9/2018 6:12:14 AM,2/9/2018 8:00:40 PM,55,-10386884.3386,5623463.0737
0033XX Hiawatha AV ,3739033,MP 2018 039785,03,2/7/2018 2:30:00 PM,1/5/2018 9:00:00 AM,09:00:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 2:29:27 PM,21434,44.94124892,-93.23342844,-10378697.779,5612277.0677,LONGFELLOW,2/8/2018 5:02:56 AM,2/8/2018 8:00:33 PM,56,-10378697.779,5612277.0677
0033XX Hiawatha AV ,3739034,MP 2018 039740,03,2/7/2018 2:34:00 PM,1/5/2018 1:25:00 PM,13:25:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 2:33:43 PM,21434,44.94124892,-93.23342844,-10378697.779,5612277.0677,LONGFELLOW,2/8/2018 5:03:24 AM,2/8/2018 8:00:33 PM,57,-10378697.779,5612277.0677
0011XX Como AV SE,3739058,MP 2018 039920,02,2/7/2018 4:52:00 PM,2/6/2018 10:00:00 PM,22:00:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 4:49:41 PM,15552,44.98793115,-93.2360749,-10378992.3812,5619621.6925,COMO,2/8/2018 6:56:24 AM,2/8/2018 8:00:33 PM,62,-10378992.3812,5619621.6925
24 ST W / Hennepin AV S,3739088,MP 2018 040178,05,2/7/2018 8:35:00 PM,2/7/2018 7:44:00 PM,19:44:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 8:28:50 PM,,44.95912,-93.29409,-10385450.31,5615088.449,LOWRY HILL EAST,2/8/2018 7:35:25 AM,2/8/2018 8:00:33 PM,66,-10385450.31,5615088.449
Cedar Lake RD S / Penn AV S,3739099,MP 2018 040225,04,2/7/2018 9:19:00 PM,2/7/2018 7:45:00 PM,19:45:00,TFMV,Theft From Motr Vehc,07,2/7/2018 9:18:47 PM,,44.97373,-93.30835,-10387038.47,5617386.214,BRYN - MAWR,2/8/2018 6:29:05 AM,2/8/2018 8:00:33 PM,69,-10387038.47,5617386.214
