X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10381101.1481,5612684.0039,0032XX 14TH AVE S,MP2018168011        ,3     ,2018/11/03 00:00:00+00,837,2018/11/03 00:00:00+00,2018/11/03 08:37:00+00,0,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/11/03 00:00:00+00,11604,-93.25501,44.94383,-10381101.1481,5612684.0039,Powderhorn Park,2018/11/03 00:00:00+00,2022/03/17 09:10:30+00,2
-10382958.0679,5622786.6714,0021XX MARSHALL ST NE,MP201818293007      ,2     ,2018/08/30 00:00:00+00,2118,2018/08/30 00:00:00+00,2018/08/30 21:18:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/31 00:00:00+00,15276,-93.27169,45.00803,-10382958.0679,5622786.6714,Bottineau,2018/08/31 00:00:00+00,2022/03/17 09:10:30+00,4
-10383615.026,5619658.7611,0007XX WASHINGTON AVE N,MP201818399499      ,1     ,2018/12/04 00:00:00+00,2000,2018/12/03 00:00:00+00,2018/12/04 20:00:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/12/05 00:00:00+00,14827,-93.2776,44.98816,-10383615.026,5619658.7611,North Loop,2018/12/06 00:00:00+00,2022/03/17 09:10:30+00,5
-10387683.1388,5611234.2196,0037XX THOMAS AVE S,MP2018185135        ,5     ,2018/06/05 00:00:00+00,1920,2018/06/05 00:00:00+00,2018/06/05 19:20:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/05 00:00:00+00,20364,-93.31414,44.93461,-10387683.1388,5611234.2196,Linden Hills,2018/06/05 00:00:00+00,2022/03/17 09:10:30+00,25
-10381500.9783,5620751.8099,0004XX 6TH AVE NE,MP2018185746        ,2     ,2018/06/06 00:00:00+00,623,2018/06/05 00:00:00+00,2018/06/06 06:23:00+00,1930,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/07 00:00:00+00,17550,-93.25861,44.99511,-10381500.9783,5620751.8099,St. Anthony West,2018/06/07 00:00:00+00,2022/03/17 09:10:30+00,37
-10385067.2154,5626315.6721,0041XX BRYANT AVE N,MP2018185830        ,4     ,2018/06/06 00:00:00+00,923,2018/06/05 00:00:00+00,2018/06/06 09:23:00+00,1100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/14 00:00:00+00,22757,-93.29064,45.03044,-10385067.2154,5626315.6721,Webber - Camden,2018/06/21 00:00:00+00,2022/03/17 09:10:30+00,43
-10384342.7287,5623583.1358,0003XX LOWRY AVE N,MP2018186256        ,4     ,2018/06/06 00:00:00+00,2137,2018/06/05 00:00:00+00,2018/06/06 21:37:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/07 00:00:00+00,14883,-93.28413,45.01309,-10384342.7287,5623583.1358,Hawthorne,2018/06/07 00:00:00+00,2022/03/17 09:10:30+00,53
-10379000.7175,5616408.7031,0025XX 6TH ST S,MP2018186318        ,1     ,2018/06/06 00:00:00+00,1732,2018/06/06 00:00:00+00,2018/06/06 17:32:00+00,1617,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/08 00:00:00+00,,-93.23614,44.96751,-10379000.7175,5616408.7031,Cedar Riverside,2018/06/08 00:00:00+00,2022/03/26 07:00:58+00,58
-10382815.9541,5619569.7274,0002XX 4TH AVE N,MP2018186649        ,1     ,2018/06/06 00:00:00+00,2212,2018/06/06 00:00:00+00,2018/06/06 22:12:00+00,2036,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/07 00:00:00+00,19845,-93.27042,44.9876,-10382815.9541,5619569.7274,North Loop,2018/06/07 00:00:00+00,2022/03/17 09:10:30+00,65
-10383884.7512,5605102.0018,0001XX 59TH ST W,MP2018187269        ,5     ,2018/06/07 00:00:00+00,1050,2018/06/06 00:00:00+00,2018/06/07 10:50:00+00,2100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/08 00:00:00+00,12858,-93.28002,44.8956,-10383884.7512,5605102.0018,Windom,2018/06/08 00:00:00+00,2022/03/17 09:10:30+00,77
-10375657.0451,5608373.3896,0049XX 46TH AVE S,MP2018187540        ,3     ,2018/06/07 00:00:00+00,1407,2018/06/05 00:00:00+00,2018/06/07 14:07:00+00,1100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/08 00:00:00+00,,-93.20611,44.91642,-10375657.0451,5608373.3896,Hiawatha,2018/06/08 00:00:00+00,2022/03/26 07:00:58+00,82
-10378662.0064,5618079.7531,0016XX UNIVERSITY AVE SE,MP2018187887        ,2     ,2018/06/07 00:00:00+00,2105,2018/06/06 00:00:00+00,2018/06/07 21:05:00+00,2330,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/08 00:00:00+00,16894,-93.2331,44.97813,-10378662.0064,5618079.7531,University of Minnesota,2018/06/08 00:00:00+00,2022/03/17 09:10:30+00,91
-10386327.4344,5619679.9656,0010XX KNOX AVE N,MP2018188416        ,4     ,2018/06/08 00:00:00+00,448,2018/06/08 00:00:00+00,2018/06/08 04:48:00+00,100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/17 00:00:00+00,,-93.30196,44.9883,-10386327.4344,5619679.9656,Near - North,2018/06/17 00:00:00+00,2022/03/26 07:00:58+00,100
-10387307.3698,5621757.8181,0022XX RUSSELL AVE N,MP2018188749        ,4     ,2018/06/08 00:00:00+00,1707,2018/06/08 00:00:00+00,2018/06/08 17:07:00+00,700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/14 00:00:00+00,,-93.31076,45.0015,-10387307.3698,5621757.8181,Jordan,2018/06/14 00:00:00+00,2022/03/26 07:00:58+00,122
-10385404.2207,5613482.2235,0011XX LAGOON AVE,MP2018189029        ,5     ,2018/06/08 00:00:00+00,1759,2018/06/06 00:00:00+00,2018/06/08 17:59:00+00,1730,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/09 00:00:00+00,19777,-93.29367,44.94891,-10385404.2207,5613482.2235,Lowry Hill East,2018/06/09 00:00:00+00,2022/03/17 09:10:30+00,129
-10382787.2134,5611586.9904,0036XX 4TH AVE S,MP2018189097        ,3     ,2018/06/08 00:00:00+00,1950,2018/06/08 00:00:00+00,2018/06/08 19:50:00+00,1420,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/08 00:00:00+00,12373,-93.27016,44.93686,-10382787.2134,5611586.9904,Central,2018/06/08 00:00:00+00,2022/03/17 09:10:30+00,131
-10380577.9625,5616626.5499,0015XX 6TH ST S,MP2018189221        ,1     ,2018/06/11 00:00:00+00,1846,2018/06/08 00:00:00+00,2018/06/11 18:46:00+00,1950,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/11 00:00:00+00,,-93.25031,44.96889,-10380577.9625,5616626.5499,Cedar Riverside,2018/06/11 00:00:00+00,2022/03/26 07:00:58+00,135
-10375442.1559,5606803.0491,0053XX MINNEHAHA AVE,MP2018189263        ,3     ,2018/06/08 00:00:00+00,2001,2018/06/08 00:00:00+00,2018/06/08 20:01:00+00,1721,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/09 00:00:00+00,16263,-93.20418,44.90643,-10375442.1559,5606803.0491,Minnehaha,2018/10/12 00:00:00+00,2022/03/17 09:10:30+00,136
-10380237.3113,5616638.5011,0004XX CEDAR AVE S,MP2018189269        ,1     ,2018/06/09 00:00:00+00,331,2018/06/08 00:00:00+00,2018/06/09 03:31:00+00,2030,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/09 00:00:00+00,14908,-93.24725,44.96897,-10380237.3113,5616638.5011,Cedar Riverside,2018/06/09 00:00:00+00,2022/03/17 09:10:30+00,137
