X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10381609.2812,5617141.5569,0006XX 9TH AVE S,MP2020287968        ,1     ,2020/11/12 00:00:00+00,1934,2020/11/12 00:00:00+00,2020/11/12 19:34:00+00,1857,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/13 00:00:00+00,20017,-93.25958,44.97217,-10381609.2812,5617141.5569,Elliot Park,2022/01/12 00:00:00+00,2022/03/17 09:10:31+00,4
-10380954.123,5620596.2774,0004XX MADISON ST NE,MP2020100000        ,2     ,2020/04/17 00:00:00+00,2021,2020/04/17 00:00:00+00,2020/04/17 20:21:00+00,200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/04/17 00:00:00+00,15900,-93.25369,44.99412,-10380954.123,5620596.2774,St. Anthony East,2020/04/17 00:00:00+00,2022/03/17 09:10:31+00,8
-10379674.8197,5626614.1443,0035XX FILLMORE ST NE,MP202010005         ,2     ,2020/01/12 00:00:00+00,717,2020/01/12 00:00:00+00,2020/01/12 07:17:00+00,620,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/01/12 00:00:00+00,,-93.2422,45.03233,-10379674.8197,5626614.1443,Waite Park,2020/01/12 00:00:00+00,2022/03/26 07:00:58+00,12
-10386441.9074,5629152.8672,0051XX KNOX AVE N,MP202010023         ,4     ,2020/01/12 00:00:00+00,916,2020/01/12 00:00:00+00,2020/01/12 09:16:00+00,757,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/01/12 00:00:00+00,15768,-93.30299,45.04845,-10386441.9074,5629152.8672,Shingle Creek,2020/01/12 00:00:00+00,2022/03/17 09:10:31+00,14
-10385293.5387,5627438.2126,0045XX COLFAX AVE N,MP202010024         ,4     ,2020/01/12 00:00:00+00,921,2020/01/12 00:00:00+00,2020/01/12 09:21:00+00,802,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/01/12 00:00:00+00,,-93.29267,45.03757,-10385293.5387,5627438.2126,Lind - Bohanon,2020/01/12 00:00:00+00,2022/03/26 07:00:58+00,15
-10382794.5507,5618262.5151,0004XX NICOLLET MALL,MP2020100249        ,1     ,2020/04/17 00:00:00+00,59,2020/04/17 00:00:00+00,2020/04/17 00:59:00+00,59,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/04/22 00:00:00+00,17115,-93.27023,44.97929,-10382794.5507,5618262.5151,Downtown West,2020/04/22 00:00:00+00,2022/03/17 09:10:31+00,16
-10386064.435,5626937.7262,0043XX IRVING AVE N,MP2020100402        ,4     ,2020/04/17 00:00:00+00,906,2020/04/16 00:00:00+00,2020/04/17 09:06:00+00,2000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/04/17 00:00:00+00,10443,-93.2996,45.03439,-10386064.435,5626937.7262,Webber - Camden,2020/04/17 00:00:00+00,2022/03/17 09:10:31+00,23
-10375117.9015,5606640.2832,0051XX 54TH ST E,MP2020100457        ,3     ,2020/04/17 00:00:00+00,951,2020/04/16 00:00:00+00,2020/04/17 09:51:00+00,2200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/04/17 00:00:00+00,18559,-93.20126,44.90539,-10375117.9015,5606640.2832,Minnehaha,2020/04/17 00:00:00+00,2022/03/17 09:10:31+00,24
-10379619.1334,5615857.5673,0021XX 9TH ST S,MP2020100460        ,3     ,2020/04/17 00:00:00+00,943,2020/04/16 00:00:00+00,2020/04/17 09:43:00+00,2200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/04/17 00:00:00+00,,-93.2417,44.96401,-10379619.1334,5615857.5673,Seward,2020/04/17 00:00:00+00,2022/03/26 07:00:58+00,25
-10380252.5084,5613813.0864,0028XX CEDAR AVE S,MP2020100681        ,3     ,2020/04/17 00:00:00+00,1434,2020/04/17 00:00:00+00,2020/04/17 14:34:00+00,1225,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/04/17 00:00:00+00,,-93.24739,44.95101,-10380252.5084,5613813.0864,East Phillips,2020/04/17 00:00:00+00,2022/03/26 07:00:58+00,34
