X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10384241.489,5616316.5062,0004XX OAK GROVE ST,MP2021290381        ,1     ,2021/12/20 00:00:00+00,1046,2021/12/20 00:00:00+00,2021/12/20 10:46:00+00,1000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,15057,-93.28322,44.96692,-10384241.489,5616316.5062,Loring Park,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,9
-10380530.8432,5611866.1916,0035XX 17TH AVE S,MP2021290432        ,3     ,2021/12/20 00:00:00+00,1150,2021/12/19 00:00:00+00,2021/12/20 11:50:00+00,1855,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,12282,-93.24989,44.93863,-10380530.8432,5611866.1916,Powderhorn Park,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,13
-10383639.2801,5615509.8032,0020XX NICOLLET AVE,MP2021290478        ,5     ,2021/12/20 00:00:00+00,1351,2021/12/19 00:00:00+00,2021/12/20 13:51:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/12/21 00:00:00+00,18036,-93.27781,44.9618,-10383639.2801,5615509.8032,Whittier,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,16
-10378315.7863,5612528.1,0033XX 29TH AVE S,MP2021290589        ,3     ,2021/12/20 00:00:00+00,1720,2021/12/20 00:00:00+00,2021/12/20 17:20:00+00,1720,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,22615,-93.22999,44.94284,-10378315.7863,5612528.1,Longfellow,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,22
-10381972.8068,5617051.0574,0007XX 8TH ST S,MP2021290635        ,1     ,2021/12/20 00:00:00+00,1741,2021/12/20 00:00:00+00,2021/12/20 17:41:00+00,1741,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,18922,-93.26284,44.97159,-10381972.8068,5617051.0574,Elliot Park,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,23
-10383807.5102,5616334.9594,0015XX LASALLE AVE,MP2021290647        ,1     ,2021/12/20 00:00:00+00,1801,2021/12/20 00:00:00+00,2021/12/20 18:01:00+00,1801,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,,-93.27932,44.96704,-10383807.5102,5616334.9594,Loring Park,2021/12/21 00:00:00+00,2022/03/26 07:00:59+00,24
-10380814.6051,5614383.4557,0026XX BLOOMINGTON AVE,MP2021290669        ,3     ,2021/12/20 00:00:00+00,1821,2021/12/20 00:00:00+00,2021/12/20 18:21:00+00,1821,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,16446,-93.25244,44.95464,-10380814.6051,5614383.4557,Midtown Phillips,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,25
-10383807.5102,5616334.9594,0015XX LASALLE AVE,MP2021290715        ,1     ,2021/12/20 00:00:00+00,2012,2021/12/20 00:00:00+00,2021/12/20 20:12:00+00,1545,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,15055,-93.27932,44.96704,-10383807.5102,5616334.9594,Loring Park,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,28
-10384494.7509,5614665.171,0025XX HARRIET AVE,MP2021290745        ,5     ,2021/12/20 00:00:00+00,2108,2021/12/20 00:00:00+00,2021/12/20 21:08:00+00,1000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,21709,-93.2855,44.95643,-10384494.7509,5614665.171,Whittier,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,30
-10379531.6515,5615756.278,0009XX 22ND AVE S,MP2021290770        ,3     ,2021/12/20 00:00:00+00,2058,2021/10/20 00:00:00+00,2021/12/20 20:58:00+00,500,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,14956,-93.24091,44.96336,-10379531.6515,5615756.278,Seward,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,32
-10382225.486,5614946.0495,0024XX PARK AVE,MP2021290856        ,3     ,2021/12/20 00:00:00+00,2335,2021/12/20 00:00:00+00,2021/12/20 23:35:00+00,1200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,,-93.26511,44.95821,-10382225.486,5614946.0495,Phillips West,2021/12/21 00:00:00+00,2022/03/26 07:00:59+00,33
-10379891.8709,5619688.023,0007XX 6TH AVE SE,MP2021290876        ,2     ,2021/12/21 00:00:00+00,113,2021/12/20 00:00:00+00,2021/12/21 01:13:00+00,1000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/12/21 00:00:00+00,14841,-93.24415,44.98835,-10379891.8709,5619688.023,Marcy Holmes,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,34
-10385617.2112,5623732.7578,0032XX FREMONT AVE N,MP2021290988        ,4     ,2021/12/21 00:00:00+00,534,2021/12/20 00:00:00+00,2021/12/21 05:34:00+00,1900,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,22706,-93.29558,45.01404,-10385617.2112,5623732.7578,Folwell,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,36
-10380345.2904,5619841.6285,0003XX 7TH ST SE,MP2021291005        ,2     ,2021/12/21 00:00:00+00,811,2021/12/20 00:00:00+00,2021/12/21 08:11:00+00,1700,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,14790,-93.24822,44.98932,-10380345.2904,5619841.6285,Marcy Holmes,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,37
-10384779.3872,5614100.6408,0027XX LYNDALE AVE S,MP2021291006        ,5     ,2021/12/21 00:00:00+00,926,2021/12/20 00:00:00+00,2021/12/21 09:26:00+00,2000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,16753,-93.28806,44.95284,-10384779.3872,5614100.6408,Whittier,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,38
-10382080.4349,5611870.2956,0035XX COLUMBUS AVE,MP2021291034        ,3     ,2021/12/21 00:00:00+00,819,2021/12/21 00:00:00+00,2021/12/21 08:19:00+00,200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,12302,-93.26381,44.93866,-10382080.4349,5611870.2956,Central,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,40
-10384879.5113,5629431.7079,0052XX CAMDEN AVE N,MP2021291062        ,4     ,2021/12/21 00:00:00+00,930,2021/12/21 00:00:00+00,2021/12/21 09:30:00+00,925,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,10334,-93.28895,45.05022,-10384879.5113,5629431.7079,Lind - Bohanon,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,41
-10379540.0204,5621176.1449,0007XX PIERCE ST NE,MP2021291081        ,2     ,2021/12/21 00:00:00+00,1037,2021/12/19 00:00:00+00,2021/12/21 10:37:00+00,1400,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,15864,-93.24099,44.9978,-10379540.0204,5621176.1449,Beltrami,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,42
-10380814.6051,5614383.4557,0026XX BLOOMINGTON AVE,MP2021291496        ,3     ,2021/12/21 00:00:00+00,2117,2021/12/21 00:00:00+00,2021/12/21 21:17:00+00,2005,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/12/21 00:00:00+00,16446,-93.25244,44.95464,-10380814.6051,5614383.4557,East Phillips,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,46
-10379703.2393,5619479.8471,0007XX 7TH ST SE,MP2021710514        ,2     ,2021/12/20 00:00:00+00,1910,2021/12/20 00:00:00+00,2021/12/20 19:10:00+00,700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/12/21 00:00:00+00,14841,-93.24246,44.98702,-10379703.2393,5619479.8471,Marcy Holmes,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,53
-10383325.3499,5616762.3157,0012XX 2ND AVE S,MP2021710523        ,1     ,2021/12/20 00:00:00+00,2341,2021/11/24 00:00:00+00,2021/12/20 23:41:00+00,2230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/12/21 00:00:00+00,21875,-93.27499,44.96976,-10383325.3499,5616762.3157,Loring Park,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,58
-10381170.5824,5606903.7116,0013XX 53RD ST E,MP2021710528        ,3     ,2021/12/15 00:00:00+00,1525,2021/12/15 00:00:00+00,2021/12/15 15:25:00+00,1443,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/12/21 00:00:00+00,13357,-93.25564,44.90707,-10381170.5824,5606903.7116,Hale,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,61
-10383941.5892,5613118.711,0001XX 31ST ST W,MP2021710530        ,5     ,2021/12/21 00:00:00+00,951,2021/12/20 00:00:00+00,2021/12/21 09:51:00+00,1130,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/12/21 00:00:00+00,11377,-93.28053,44.9466,-10383941.5892,5613118.711,Lyndale,2021/12/21 00:00:00+00,2022/03/17 09:10:32+00,63
