publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID,x,y
0020XX HARRIET AVE,MP2022706860,5,6/28/2022 12:00:00 AM,1522,6/25/2022 12:00:00 AM,6/28/2022 3:22:00 PM,2300,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.28546,44.9618,-10384489.9158723,5615510.03214313,Whittier,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5,-10384489.9159,5615510.0321
0015XX 5TH ST S,MP2022706863,1,6/28/2022 12:00:00 AM,1536,6/27/2022 12:00:00 AM,6/28/2022 3:36:00 PM,1651,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.24997,44.97003,-10380538.7078879,5616803.99440665,Cedar Riverside,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,7,-10380538.7079,5616803.9944
0002XX 9TH AVE NE,MP2022706870,2,6/28/2022 12:00:00 AM,1743,6/19/2022 12:00:00 AM,6/28/2022 5:43:00 PM,2100,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.26373,44.9974,-10382070.6415474,5621111.61362975,St. Anthony West,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,11,-10382070.6415,5621111.6136
0050XX EAST LAKE NOKOMIS PKWY,MP2022706881,3,6/28/2022 12:00:00 AM,2030,6/28/2022 12:00:00 AM,6/28/2022 8:30:00 PM,1305,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.2359,44.91005,-10378972.5989541,5607371.18332619,Keewaydin,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,20,-10378972.599,5607371.1833
0016XX 2ND ST N,MP2022706882,4,6/28/2022 12:00:00 AM,2037,6/28/2022 12:00:00 AM,6/28/2022 8:37:00 PM,2025,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.27992,44.99582,-10383873.6679529,5620864.18469944,Near - North,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,21,-10383873.668,5620864.1847
0041XX EAST LAKE HARRIET PKWY,MP2022706884,5,6/28/2022 12:00:00 AM,2056,6/28/2022 12:00:00 AM,6/28/2022 8:56:00 PM,1830,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.30226,44.92838,-10386359.9385855,5610252.70503705,East Harriet,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,23,-10386359.9386,5610252.705
0017XX FILLMORE ST NE,MP2022706888,2,6/28/2022 12:00:00 AM,2336,6/28/2022 12:00:00 AM,6/28/2022 11:36:00 PM,2030,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.24227,45.00382,-10379682.280399,5622123.55453788,Northeast Park,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,26,-10379682.2804,5622123.5545
0010XX 37TH ST E,MP2022706895,3,6/29/2022 12:00:00 AM,848,6/26/2022 12:00:00 AM,6/29/2022 8:48:00 AM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.25936,44.93595,-10381584.1003758,5611443.31378496,Powderhorn Park,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,29,-10381584.1004,5611443.3138
0026XX 28TH ST W,MP2022706898,5,6/29/2022 12:00:00 AM,859,6/29/2022 12:00:00 AM,6/29/2022 8:59:00 AM,230,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.31361,44.95197,-10387623.6786136,5613962.94786734,Cedar - Isles - Dean,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,30,-10387623.6786,5613962.9479
0028XX 14TH AVE S,MP2022706899,3,6/29/2022 12:00:00 AM,909,6/24/2022 12:00:00 AM,6/29/2022 9:09:00 AM,1900,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.25502,44.95101,-10381101.5154197,5613811.75115983,Midtown Phillips,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,31,-10381101.5154,5613811.7512
0011XX 14TH AVE SE,MP2022706909,2,6/29/2022 12:00:00 AM,1115,6/28/2022 12:00:00 AM,6/29/2022 11:15:00 AM,2300,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.23204,44.99397,-10378542.825076,5620571.61298122,Como,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,36,-10378542.8251,5620571.613
0028XX DUPONT AVE S,MP2022706911,5,6/24/2022 12:00:00 AM,1453,6/23/2022 12:00:00 AM,6/24/2022 2:53:00 PM,1800,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.29317,44.951,-10385348.6131925,5613810.11459808,Lowry Hill East,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,38,-10385348.6132,5613810.1146
0037XX 25TH AVE S,MP2022706913,3,6/27/2022 12:00:00 AM,1037,6/19/2022 12:00:00 AM,6/27/2022 10:37:00 AM,314,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.23592,44.93502,-10378975.4174548,5611296.93169521,Standish,8/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,39,-10378975.4175,5611296.9317
0029XX PLEASANT AVE,MP2022706914,5,6/29/2022 12:00:00 AM,1148,6/28/2022 12:00:00 AM,6/29/2022 11:48:00 AM,2230,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.283,44.94955,-10384216.5227954,5613582.36453595,Whittier,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,40,-10384216.5228,5613582.3645
0027XX 39TH ST W,MP2022706915,5,6/29/2022 12:00:00 AM,1155,6/29/2022 12:00:00 AM,6/29/2022 11:55:00 AM,930,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.31474,44.9323,-10387749.17118,5610870.54999973,Linden Hills,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,41,-10387749.1712,5610870.55
